"Text","Difficulty"
"Je te propose un rendez-vous à 20 heures au bar.","A2"
"Je te téléphone à mon retour à Paris.","A2"
"Je vais à l’école pendant la journée.","A2"
"Je vais chez le dentiste l'après-midi mais je suis libre le soir.","A2"
"Je vais copier la recette pour pouvoir te faire goûter.","A2"
"Je viens d’emménager dans ma nouvelle maison.","A2"
"Je visite tous les musées demain.","A2"
"Je voudrais prendre des cours de karaté parce que j'ai un peu peur quand je suis seule le soir.","A2"
"Je voulais être professeur et enseigner les mathématiques.","A2"
"Je voulais être professeur et enseigner les mathématiques.","A2"
"Je voulais poursuivre les criminels et défendre les gentils.","A2"
"L'après-midi, Alice va nager à la piscine.","A2"
"L'histoire de ce livre est incroyable.","A2"
"La cloche de l’école sonne à quatorze heures pour que tout le monde retourne en classe jusqu’à dix-sept heures.","A2"
"La cuisine est la pièce préférée de ma maison.","A2"
"La journée est longue pour David qui attend le samedi toute la semaine.","A2"
"La journée est longue pour lui.","A2"
"La journée n’est pas fini pour Théo qui doit rentrer à la maison pour faire ses devoirs.","A2"
"La langue anglaise crée environ 20000 nouveaux mots chaque année.","A2"
"La pollution, je dis non, mais à la vie je dis oui, oui.","A2"
"La route était longue entre Paris et Valras: le voyage durait environ six heures.","A2"
"La semaine, je me lève à six heures du matin et mon mari à huit heures.","A2"
"Le 14 juillet est la fête nationale française.","A2"
"Ma nouvelle maison est blanche avec des volets bleus et des fleurs rouges.","A2"
"Ma sœur ainée a 14 ans.","A2"
"Ma tante Marcelline habite près de chez eux.","A2"
"mais aussi des fraisiers : je me régale et je fais le plein de vitamines J'espère que tu passes de bonnes vacances à Limoges.","A2"
"Mais la musique m'a donné mal à la tête.","A2"
"Mais le marché est loin de leur maison et ils ne peuvent pas y aller à pied.","A2"
"Mais le monde ne fonctionne pas toujours ainsi.","A2"
"Mais le weekend, nous nous levons tous les deux à neuf heures.","A2"
"Mais ma plus grande passion, c'est l'art.","A2"
"Mais ma plus grande passion, c'est l'art.","A2"
"On le fête avec ses amis ou sa famille, et on souhaite « bonne année.","A2"
"On partait de bonne heure pour ne pas être coincés dans les embouteillages.","A2"
"Parfois, J'allais me mouiller un peu, puis je revenais sécher au soleil.","A2"
"Parfois, ma grand-mère Marie l’invite à la maison pour le déjeuner.","A2"
"Pendant les grandes vacances, nous allons à la campagne chez mes grands-parents.","A2"
"Pendant que la salle se remplit petit à petit, un étage en-dessous, c'est l'effervescence.","A2"
"Pendant une heure et demie, Théo peut penser à autre chose qu’à l’école et s’amuser avec ses amis.","A2"
"Pile au moment où on a le plus besoin de réconfort.","A2"
"Pour aller dans ma chambre, je dois monter un escalier.","A2"
"Pour moi, les médecins et les infirmières sont des héros sans costume.","A2"
"Pour se détendre, Théo prend souvent un bain le soir avant de jouer encore un peu et d’aller dormir.","A2"
"Pourtant, quand on était petits, il détestait aller chez le dentiste.","A2"
"Préfères-tu aller au théâtre.","A2"
"Puis, je donne à manger aux lapins.","A2"
"Puis, je voulais devenir docteur pour soigner les malades.","A2"
"Puis, plus grand, je découvrais les métiers de policier et d'avocat dans un film.","A2"
"Quand je faisais mes valises, je prenais toujours mon maillot de bain rouge, mon sac de plage, mes lunettes de soleil et mon journal intime.","A2"
"Quand les clients viennent, on a l'impression qu'ils viennent dans un endroit féerique.","A2"
"Sa femme Maryse est institutrice.","A2"
"Si nous devons payer soixante-deux euros et quatre-vingt-cinq centimes chez le boucher par exemple, il est content.","A2"
"Souvent, le soir, il pratique une activité musicale : le piano.","A2"
"Souvent, nous achetons aussi seize tomates, vingt-cinq bananes, environ dix-huit abricots et douze œufs.","A2"
"Soyez les bienvenus sur le site Internet des Bateaux de Paris.","A2"
"Tanguy ne veut pas aller à la mer le mois prochain.","A2"
"Théo vérifie qu’il a bien fait son lit avant de s’habiller et de partir à l’école.","A2"
"Tous les matins, il suit la même routine : il commence par se laver le visage avant de prendre une douche.","A2"
"Tout le monde aime les centres commerciaux.","A2"
"Tout le monde aime les centres commerciaux.","A2"
"Tu amenais tes poupées et on les baignait dans la mer.","A2"
"Tu as eu des nouvelles de Marie.","A2"
"Tu es encore fâché contre Jean.","A2"
"Tu étais ma meilleure amie et tu avais toujours plein de bonnes idées pour s'amuser.","A2"
"Tu faisais des châteaux de sable et tu mettais des coquillages sur les tours.","A2"
"Tu vas t'inscrire dans quelle faculté en septembre.","A2"
"Tu veux du sucre dans ton café.","A2"
"Un reportage dans les coulisses de cette revue, célèbre évidemment partout dans le monde.","A2"
"Une fois qu’il a tout fini, Théo peut enfin aller jouer et s’amuser avant de dîner avec ses parents.","A2"
"Une heure plus tard, Clément et Manon dégustent leur déjeuner bien mérité.","A2"
"Une mission très ""pénible"" pour nos envoyés spéciaux sur place, Nicolas George et Martin van der Bossche.","A2"
"Une page culture de circonstance en ce 31 décembre festif, la féerie de la grande revue du Moulin Rouge à Paris.","A2"
"Voici les principales.","A2"
"Vous n'envisagez pas la vie sans votre tablette quotidienne.","A2"
"Vous ne pouvez pas commencer votre journée sans votre bol de chocolat chaud.","A2"
"Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé.","A2"
"Vous ne risquerez pas de vous ennuyer dans un lieu aussi animé.","A2"
"À midi il prend un sandwich dans un café.","B1"
"A t'il parlé d'astuces pratiques pour un bien-être quotidien et d'un questionnement philosophique sur cette quête de l'impossible.","B1"
"Ainsi, les salons se parent de bougies et de sapins.","B1"
"Après l'ambiance de luxe, ici c'est comme un tranquille village.","B1"
